id;name;price;rate;sold;tags;
1;Светодиодная лента подсветки для 32PFL3507 32LM340T 32PHG4900 LE32D1352 32LM340T 32LM3400 6916L-0923A 0881A 1030A 1031A;1145;4.9;451;
2;Разъем питания постоянного тока для камеры видеонаблюдения 3528/5050;410;4.9;450;top
3;Регулятор яркости для светодиодной ленты, 12-24 В, 8 А;221;4.9;450;
4;Светодиодная лента для подсветки LG 42LB5610 42LB5800 42LB585V 42LB585V 42LB585B 42LB585U 42LB585B;1612;5.0;450;
5;Комплект светодиодных лент для подсветки 485 мм, регулируемая яркость, Обновите свой ЖК-экран 22 дюйма 22 дюйма CCFL светодиодный;962;5.0;449;
6;Светодиодная лента для багажника OKEEN, гибкая, желтая/красная/синяя/белая, 120/150 см;725;4.7;449;
7;Светодиодная лента 5050, 12 В, 24 В постоянного тока, RGB, теплый белый свет, 5 метров;333;4.8;449;top
8;Комплект светодиодных лент для подсветки телевизора LG 32LF550U, 32LF560U, 32LF562U, 32LF564U, 32LF620U;1117;4.9;448;
9;Светодиодная лента для подсветки Samsung 32 дюйма;841;4.9;448;top
10;Светодиодная гирлянда WS2812B;2126;4.8;447;top
11;Светодиодная гирлянда с шариками G40;1372;4.8;460;
12;Светодиодная лента Sumbulbs FCOB, 8 мм, 12/24 В, 480 Led, 3000-6500 K, длина 0,5-5 м, в ассортименте;212;4.8;451;top
13;Водонепроницаемая наружная светодиодная лента 220 в 120 светодиодов/м IP67;695;4.8;447;
14;Светодиодная панель для телевизора LG 32LN542V 32LN542V-ZD;612;4.8;445;
15;Светодиодная лента 5050 SMD 60 светодиодов/м;233;4.9;444;
16;Водонепроницаемая светодиодная лента с питанием от батарейки АА;383;4.7;445;
17;Светодиодная лента, 12 В постоянного тока, 50 см, 20 дюймов;65;4.9;444;
18;Светодиодная лента для подсветки 32 дюйма TOSHIBA 32L5069 jhd315v1h-lb81 hz32e35ad HD315S1H81-T0 2X5_15 APT-32LB02 VER2.4;777;4.9;445;top
19;Светодиодная лента WS2812B 5050 RGB;927;4.8;444;top
20;Светодиодная лента для 12 V 4PIN RGB Header (+ 12 V, G, R, B);418;4.9;443;
21;Адресная светодиодная RGB панель WS2812B, SMD 5050, 8x8/8x32/16x16 светодиодов;932;4.9;443;top
22;Светодиодный драйвер 3 Вт 6 Вт 12 Вт 18 Вт 24 Вт 220 В до 12 В;40;4.7;444;
23;Удлинительный кабель постоянного тока для адаптера питания 12 В;109;4.9;442;
