id;name;price;rate;sold;tags
1;Мужская классическая однотонная футболка из хлопка, цвета в ассортименте;1145;4.9;52805;top
2;Мужская футболка с коротким рукавом и V-образным вырезом, цвет в ассортименте;441;4.6;39221;top
3;Футболка SEMIR, мужская, стрейчевая, хлопковая, размер XS-4XL;685;4.9;22808;top
4;Мужская футболка с круглым вырезом, цвет в ассортименте;1476;4.4;17535;
5;Футболка мужская с коротким рукавом однотонная, хлопок, размеры S-XXXL, цвет в ассортименте;1177;4.9;16951;top
6;Мужская однотонная футболка, круглый вырез, размеры и цвета в ассортименте;1235;4.9;15514;top
7;Мужская футболка MRMT с коротким рукавом, однотонная, цвета различные, материал хлопок;637;4.8;13838;
8;Футболка мужская SIMWOOD с круглым вырезом и короткими рукавами, цвета в ассортименте, размеры S-3XL;1355;4.9;13756;top
9;Футболка мужская свободного покроя, модная тенниска в стиле хип-хоп, повседневная хлопковая майка с короткими рукавами, уличная одежда, 5XL, лето 2024;937;4.7;11605;top
10;Хлопковая мужская футболка с длинным рукавом;1353;4.7;11010;top
11;Мужская футболка с коротким рукавом и принтом из GONTHWID;1493;4.9;10066;top
12;Футболка с индивидуальным дизайном;919;5.0;9754;
13;Хлопковая повседневная мужская футболка с коротким рукавом;879;4.8;9698;top
14;Мужская футболка из хлопка с принтом, размеры XS - 3XL, цвет в ассортименте;816;4.7;9491;top
15;Мужская летняя футболка с коротким рукавом;937;4.7;9256;top
16;Мужские футболки с длинным рукавом и круглым вырезом;1066;4.8;8763;top
17;Мужская футболка с коротким рукавом, круглым вырезом и принтом;756;4.9;8641;
18;Мужская хлопковая футболка Giordano, S-XXL;2737;4.9;8576;top
19;Мужская хлопковая футболка с изображением мультяшного кота, цвета в ассортименте;909;4.8;7981;
20;Мужская футболка с коротким рукавом;775;4.7;7617;
21;Мужская футболка оверсайз с короткими рукавами и круглым вырезом, однотонная;1398;4.8;7607;top
22;Черная футболка с коротким рукавом с 3D-принтом в стиле хип-хоп;774;4.4;6998;top
23;Мужская футболка с объемным рисунком KYKU;271;4.6;6938;
24;Футболка мужская JUNYQ с круглым вырезом и короткими рукавами, цвета в ассортименте, размеры M-3XL;566;5.0;6673;
25;Футболка мужская с коротким рукавом и круглым вырезом;1611;4.7;6427;
26;Мужская хлопковая футболка с коротким рукавом;534;4.8;6393;
27;Мужская хлопковая футболка Gildan с коротким рукавом и круглым вырезом, однотонная без принта;820;4.8;6335;
28;Мужская футболка с круглым вырезом "Рождённый в СССР", цвета в ассортименте;476;4.6;6206;
29;Черная/белая хлопковая футболка с коротким рукавом и принтом бабочки, размер S-XL;1949;4.9;6005;top
30;Мужская однотонная футболка с V-образным вырезом и коротким рукавом, хлопок, размер S-5XL, цвет в ассортименте;906;4.8;6010;top
31;Футболка мужская Simwood с круглым вырезом и короткими рукавами, цвета в ассортименте, размеры M-L;1145;4.9;5904;top
32;Мужская футболка с коротким рукавом и 3D-принтом животных;480;4.4;5808;
33;Мужская эластичная футболка с V-образным вырезом и длинными рукавами, размеры S - 5XL, цвет в ассортименте;557;4.3;5469;
34;Футболка для мужчин King Billion, размер S - 3XL, цвет в ассортименте;974;4.6;5469;top
35;Мужская хлопковая футболка с короткими рукавами, размеры S-5XL, цвет в ассортименте;527;4.9;5432;
36;Мужская однотонная футболка с коротким рукавом, хлопок, размер M-5XL, цвет в ассортименте;881;4.8;5207;top
37;Мужская хлопковая футболка;692;4.6;5196;
38;BROWON 2024, модная мужская футболка, приталенная, на заказ, футболка, дизайн Crease, длинная, стильная, роскошная, с v-образным вырезом, футболка для фитнеса, футболка, Homme;1318;4.7;5184;top
39;Футболка мужская или женская с принтом дракона;1170;4.7;4977;
40;Футболка с длинным рукавом в готическом стиле, размер S - 5XL, цвет в ассортименте;812;4.6;4944;
